road_type,traffic_density,avg_speed,weather_condition,num_lanes,road_surface,lighting,accident_risk
Urban,407.60625897986324,119.1142773743137,Rainy,2,Fair,Daylight,0.5669047038744572
Urban,386.4845416674248,66.36043222908867,Clear,1,poor,Daylight,
Rural,248.50227384425014,59.47825724173085,Foggy,1,Fair,Daylight,0.6377360726634637
Urban,380.1298231795761,111.96134927532302,Foggy,1,Good,Daylight,0.5674106927070511
Highway,331.262054514648,72.92383365771101,Foggy,4,poor,Night,
Urban,434.30735015095394,90.50769619293123,Rainy,3,poor,Night,
Rural,411.1069169018167,104.62460472620108,Clear,4,poor,Night,
Urban,68.61847211026695,43.54943957245183,Rainy,1,Fair,Daylight,0.5192452910777019
Urban,220.49919064967236,36.94665851945295,Rainy,1,Fair,Night,0.7681913070367287
Urban,65.62226848275256,26.850680559100596,Rainy,2,Fair,Night,0.6818567248043838
Rural,95.93371614474407,109.71332992460653,Clear,2,Good,Night,0.3580815002000512
Urban,320.6348249016251,40.036709474314875,Rainy,3,poor,Daylight,
Urban,443.219819523014,50.77540440643939,Rainy,5,poor,Night,
Highway,103.92114141917025,48.58069260789511,Clear,1,Good,Night,0.3289027775180956
Rural,252.9901793600742,50.45879875223949,Rainy,2,Good,Daylight,0.529034173377553
Urban,459.89550716289966,86.80611268287184,Rainy,3,poor,Night,
Rural,416.4354426522145,115.41135587405383,Foggy,4,poor,Night,
Urban,283.85055340966846,52.94534359575404,Clear,1,Good,Daylight,0.34076422511477766
Urban,397.20714769797394,60.764715465869685,Foggy,5,Fair,Daylight,0.8812066548226332
Urban,285.21219832004164,97.11469841086111,Rainy,3,Fair,Daylight,0.4976394270921533
Highway,121.14155177728195,63.23379441876859,Clear,5,Fair,Daylight,0.2755015413521214
Highway,106.1312509497556,112.60427679260475,Clear,1,Good,Night,0.23543079945661713
Highway,134.7657044301814,70.32180507452165,Rainy,3,poor,Daylight,
Rural,207.91494273455578,54.77348557636154,Foggy,2,Good,Night,0.6503866009755386
Rural,468.7381704533084,117.15724837342697,Rainy,5,Fair,Daylight,0.4963101314089014
Highway,409.8552861441206,62.57818760641799,Clear,4,Fair,Daylight,0.5224689866598994
Rural,244.76070255184288,43.11748711880426,Clear,4,Fair,Daylight,0.4766806644009468
Urban,271.8845194044083,37.770081478953294,Rainy,5,Good,Night,0.7247483841772553
Urban,169.5242559498867,119.51813258283256,Rainy,1,Good,Night,0.47198335794349794
Urban,366.95883041245855,95.29876931288491,Rainy,1,Fair,Night,0.697448591702583
Highway,411.2445521579171,60.865979745518075,Rainy,1,Fair,Night,0.7329711856569109
Rural,157.50711305040943,102.63633428521901,Foggy,4,poor,Daylight,
Highway,68.81973070390941,74.6806129514485,Foggy,4,Good,Daylight,0.48247130354661194
Rural,330.7500244233367,51.738957363327245,Foggy,2,poor,Daylight,
Urban,303.13045361089246,94.33858087359594,Foggy,1,Fair,Night,0.7392536835043783
Highway,230.9590197629944,94.58947388831518,Clear,4,Fair,Night,0.479848328211116
Rural,339.75227379794455,70.0169229184135,Clear,4,Fair,Daylight,0.5318394636786195
Rural,297.7759840933146,24.515834035549638,Foggy,1,poor,Daylight,
Urban,162.76170946738677,27.70224865736676,Rainy,1,Good,Night,0.6156646832240565
Highway,228.97803903022506,98.87494790012713,Clear,4,Good,Night,0.30271880061934203
Highway,242.65110638625876,102.34763759882132,Rainy,5,poor,Daylight,
Highway,446.1115975140037,87.82897485771822,Foggy,4,Good,Daylight,0.6655788865854612
Urban,482.40686935803177,103.9068575417683,Clear,2,poor,Daylight,
Highway,451.8506130784237,91.9487470357612,Clear,3,poor,Night,
Urban,373.63011082339085,109.6934620508916,Clear,1,Good,Night,0.4489934983919394
Urban,313.2467301226198,35.03982726132803,Clear,2,Good,Daylight,0.3998393871262237
Urban,360.16773595967976,58.77415283268735,Foggy,5,poor,Daylight,
Rural,472.59914932971003,66.41107938908192,Clear,3,Good,Daylight,0.49799609281332585
Highway,162.4994308507243,49.76637947582136,Foggy,4,Good,Night,0.7232803831560366
Highway,290.80422845303224,92.53664481494441,Clear,1,poor,Night,
Urban,360.32360855018356,111.24388126891402,Foggy,4,Fair,Daylight,0.6155256816783763
Urban,355.6611505959236,61.24821992692763,Foggy,2,poor,Daylight,
Highway,163.5255318095764,114.15419645979665,Rainy,1,Good,Daylight,0.28276732671696864
Urban,314.02918732538836,71.67689071440566,Foggy,4,Fair,Night,0.788343237721785
Highway,408.1609140890704,72.25156268160512,Rainy,1,Good,Night,0.7332819531324828
Rural,263.7855410226097,80.02195406777565,Clear,2,poor,Night,
Urban,406.98413451443076,46.833106511932534,Rainy,4,poor,Night,
Highway,211.94716898954965,58.3360519135037,Foggy,3,poor,Daylight,
Urban,472.4420572236915,75.32374528854946,Rainy,5,Fair,Daylight,0.7648972088005391
Highway,290.2677982245955,114.19828855732617,Clear,4,Good,Night,0.4010669944910677
Highway,318.17657785667643,84.26925784552185,Rainy,1,Fair,Night,0.6573868325301654
Urban,64.11270596206478,53.31165578887095,Foggy,4,poor,Night,
Rural,126.62111170786741,21.046857331650266,Foggy,1,Good,Daylight,0.5151216654071505
Highway,334.82024621197013,118.16656499299057,Clear,2,poor,Night,
Highway,238.94166730202207,69.29845578183955,Clear,5,Good,Daylight,0.2892698625175709
Highway,278.6737057061786,113.8495158330771,Rainy,1,Fair,Daylight,0.42049686687903265
Rural,78.3371339301652,74.93452338350528,Clear,4,Fair,Daylight,0.2943462867172016
Rural,425.36085728467293,80.54648602222888,Foggy,2,Fair,Night,0.8745532120636235
Urban,403.0275210332978,91.19122559039721,Rainy,3,Fair,Night,0.7295142057124492
Rural,133.4092890748323,52.09757336644056,Rainy,4,Good,Night,0.5163144374437377
Urban,335.4482107658207,89.89839606750346,Rainy,5,Good,Night,0.5910213043704716
Urban,418.2418452444223,72.67919098513838,Rainy,2,Fair,Daylight,0.5741402138038468
Rural,338.38436138701996,87.24799495825067,Clear,4,Fair,Daylight,0.4541792690295006
Urban,189.67914288313017,103.583326090984,Rainy,1,Good,Night,0.5050047477310171
Rural,345.2500177151752,38.42291302719839,Rainy,1,poor,Daylight,
Urban,144.7077864574455,81.35509103357597,Rainy,1,Fair,Daylight,0.4424892015283406
Rural,193.2147487757394,25.21113286098366,Foggy,4,Good,Night,0.7724402650469792
Rural,158.03134389823038,30.211508894903687,Foggy,5,Fair,Night,0.9362323983234648
Urban,300.6162960755929,87.4594235735587,Clear,1,Good,Daylight,0.37078374442259
Highway,98.70199104449688,27.093765180831944,Foggy,4,Fair,Night,0.8471435989122734
Urban,469.9896711567524,79.53577798139739,Foggy,4,Fair,Daylight,0.8146404287445695
Rural,200.08055914829006,42.00125986513854,Clear,5,poor,Night,
Highway,148.5365571976106,50.408482851174796,Clear,2,poor,Daylight,
Urban,273.4474161208241,32.96365021474264,Rainy,2,poor,Night,
Urban,174.64901830462222,44.86674861728393,Rainy,4,poor,Daylight,
Urban,290.7068388721899,102.1291784819328,Clear,2,Fair,Night,0.5020788814805238
Highway,206.82911740193848,83.88784056065276,Rainy,3,Fair,Night,0.6066978584865319
Rural,109.43006484606836,114.97597947128547,Rainy,5,poor,Night,
Urban,169.6528589122679,24.874485535375527,Rainy,4,poor,Daylight,
Urban,247.29793023268635,99.24119971840686,Clear,2,Fair,Night,0.4856450385362127
Urban,63.63195191583153,89.90771832794246,Foggy,2,Good,Night,0.4901628861913214
Urban,396.7891371566429,46.0892305197536,Foggy,5,poor,Daylight,
Urban,329.8210540656871,92.91667028105844,Clear,1,Good,Night,0.37236090722067405
Rural,320.61182327525944,91.65485499146203,Clear,2,Fair,Daylight,0.3472467867826687
Rural,295.72246934724467,65.93452030587437,Rainy,5,Good,Daylight,0.5164922464255577
Urban,315.64092754628086,88.8639618853709,Clear,1,poor,Daylight,
Highway,470.59337871824926,64.45809030150653,Clear,4,poor,Daylight,
Rural,53.85614486483331,53.55455960578722,Clear,1,poor,Daylight,
Highway,71.50986934598717,66.64909603369162,Clear,2,poor,Daylight,
Rural,136.17203446886106,109.51294814927913,Rainy,4,poor,Night,
Urban,125.28562099691754,58.45837928602182,Rainy,4,Fair,Daylight,0.5094321445918031
Rural,131.5375067611322,60.368817745666384,Clear,1,Good,Night,0.32721750376521647
Urban,352.3747486318926,80.84032276220503,Clear,4,Fair,Daylight,0.4665970444852984
Rural,256.76748547257444,95.29994754336214,Foggy,1,Fair,Night,0.7634875397147807
Urban,496.3004952506119,93.46208603111565,Foggy,1,Fair,Daylight,0.76498359356418
Urban,152.0986616613252,21.979873011815727,Clear,1,Good,Daylight,0.32350631382066386
Urban,189.8735454623726,88.74153330188531,Foggy,5,Good,Night,0.6352496932335483
Urban,492.9083225607421,65.05540480989268,Foggy,2,Fair,Night,0.8808810108382958
Highway,424.2911633610111,72.40899675544574,Rainy,4,Good,Daylight,0.5358319099351471
Urban,261.4096493053397,76.16633369429792,Rainy,3,Fair,Daylight,0.5700595264326639
Highway,299.56859849569537,93.17196171082654,Rainy,2,Fair,Night,0.6800342858924481
Highway,429.43006429377823,103.1332983608313,Foggy,3,poor,Night,
Urban,266.44111072084763,84.62609446322361,Clear,1,Good,Daylight,0.2926727820650743
Highway,142.71067561193794,76.39072208060011,Rainy,4,poor,Daylight,
Rural,422.8000423494735,57.376925481270185,Foggy,2,Fair,Night,0.8719276489377171
Urban,291.99762107403956,33.787821923194755,Clear,3,Fair,Daylight,0.48933927368415214
Highway,118.86916872371958,115.8577681644864,Rainy,3,Fair,Daylight,0.42990341314327357
Urban,277.5136240329789,66.18422923253075,Foggy,3,poor,Night,
Urban,235.94152126858646,76.62122444973933,Rainy,2,poor,Night,
Urban,444.57913934679107,95.10731394364171,Foggy,5,Fair,Daylight,0.6963740017230446
Highway,106.72494411231654,26.841048497982918,Rainy,1,poor,Daylight,
Rural,443.8444120016115,105.50110090037315,Foggy,4,Fair,Night,0.8183879594990109
Rural,280.4949575646281,99.70257433424074,Clear,3,Fair,Night,0.4881532919760606
Highway,231.96399349151645,97.44285819098411,Rainy,2,poor,Night,
Urban,122.88523298132316,22.198270673440838,Rainy,3,Good,Night,0.5921939593988075
Highway,365.3680831874057,72.65188514104142,Foggy,2,Fair,Night,0.7871005104795294
Highway,467.0630190995182,25.426837073243682,Clear,5,Fair,Daylight,0.6614713739689775
Highway,218.91980925469392,75.08725788472913,Clear,3,poor,Night,
Urban,158.71325030187506,91.84483262555224,Rainy,3,poor,Night,
Highway,299.6901126496207,32.18502502584229,Foggy,4,poor,Night,
Urban,408.2836767952416,89.48831054772886,Rainy,2,Fair,Daylight,0.5969984555575216
Highway,51.69546254773987,64.95328459853071,Foggy,2,Good,Daylight,0.3637385120103444
Rural,334.11984637794313,101.155293067782,Clear,5,Good,Night,0.44797829266695754
Highway,318.43220031438386,73.3588939380301,Rainy,3,Good,Daylight,0.47372563600680984
Highway,193.16848361187203,53.612153583464874,Foggy,4,Fair,Night,0.8056696729019267
Rural,253.14035162223666,53.19915634237086,Clear,1,poor,Night,
Urban,161.13345087281942,109.7486520007584,Foggy,4,Good,Night,0.621593783877455
Urban,405.44858207832925,65.28715845851323,Rainy,4,Good,Daylight,0.6802963356779392
Highway,335.54072001474844,60.575389717642096,Foggy,4,Good,Daylight,0.6506078419813894
Rural,289.7202299175434,23.987362229791557,Rainy,4,Fair,Daylight,0.6303252339459511
Urban,226.63678928802224,56.432460511540164,Clear,3,poor,Night,
Highway,181.12297370932947,104.96270549444247,Foggy,4,poor,Daylight,
Rural,420.23141871954414,96.09876565326091,Clear,2,poor,Night,
Urban,253.13345169510606,42.091320279659975,Clear,2,poor,Daylight,
Urban,275.6513389287527,61.305662321350326,Rainy,4,Good,Night,0.6547660515646061
Rural,284.3729287433338,39.657967608174886,Rainy,2,poor,Night,
Rural,251.7651209442094,115.42168168347068,Clear,3,Good,Daylight,0.2224342268931302
Rural,165.2397918072907,79.81178785355357,Rainy,1,Fair,Night,0.5609833880900414
Rural,104.1531981093734,95.43547925485487,Clear,4,Fair,Daylight,0.25806459477459787
Highway,94.34177022548332,91.38086496767791,Rainy,2,Fair,Night,0.46180765275034374
Rural,390.8581355033099,107.36893633900836,Rainy,2,poor,Night,
Urban,150.58752003568011,114.93277785454593,Foggy,3,poor,Daylight,
Urban,75.052766729289,23.244617377572446,Foggy,3,Good,Night,0.5411633448288052
Highway,408.8828330131487,117.53011798999523,Rainy,1,poor,Night,
Urban,119.3277437872916,107.05424631058796,Clear,5,Fair,Night,0.44604697661789217
Urban,331.3157412800093,58.29474086980963,Clear,5,poor,Night,
Rural,202.38947215153846,103.70692425570705,Clear,5,Good,Daylight,0.18134323642852568
Urban,106.91611551108926,93.65579823309496,Rainy,1,Fair,Daylight,0.38886339242750445
Highway,236.51644066446195,99.31143766896918,Rainy,4,Fair,Daylight,0.49831545643185854
Rural,56.66398750968131,42.069103283905534,Clear,5,Good,Night,0.3837623058874584
Rural,428.47024213065214,84.85637019356653,Foggy,5,Fair,Daylight,0.7847215952117994
Highway,281.07408260383573,22.59258942992908,Foggy,2,Good,Daylight,0.5706157971058466
Rural,112.62200490858282,104.82291325528489,Clear,2,Good,Night,0.33375872620901587
Rural,156.64114327504313,115.10429724757891,Rainy,4,poor,Night,
Highway,251.58883646233699,86.21234406352879,Rainy,3,Fair,Daylight,0.513146900895742
Rural,134.99122226699689,71.26696531760021,Clear,1,poor,Daylight,
Highway,170.86962267548864,92.57310893630712,Foggy,5,poor,Night,
Highway,290.4735039058684,52.6361288224617,Clear,1,Good,Night,0.43091649491176315
Urban,424.67405586727347,82.6387795812538,Clear,2,Good,Night,0.538517275761354
Urban,230.82785856046436,91.89729393064442,Clear,1,poor,Night,
Rural,372.6388730990967,34.26807814811876,Foggy,2,Good,Daylight,0.5805805010874185
Rural,444.50789605729176,34.00680054965924,Clear,1,Fair,Daylight,0.4958586316599821
Highway,147.3354231332729,91.61381777143069,Foggy,2,Fair,Night,0.680491903693507
Rural,413.23638668097203,63.1782494165496,Rainy,1,poor,Night,
Highway,390.83098924896234,108.92014984609,Foggy,5,Fair,Daylight,0.6867261025029738
Highway,210.62178407666076,51.193888215683764,Foggy,5,poor,Daylight,
Rural,495.2839817753902,24.243073724864455,Clear,4,Fair,Daylight,0.606918674941771
Highway,168.15756714618067,84.98760292315197,Rainy,1,Good,Daylight,0.3244938122909554
Urban,164.661469714263,88.42392266025806,Clear,3,Fair,Night,0.45165074668509503
Rural,397.516624093939,75.35916089787102,Foggy,4,Good,Daylight,0.6966351282352058
Urban,245.59579312298789,88.3332645694598,Foggy,1,poor,Night,
Rural,198.85774765146945,72.37543444743949,Clear,3,Fair,Night,0.5487505507663265
Highway,130.39826240259634,89.26328160990455,Rainy,5,Good,Daylight,0.3434799592351615
Rural,394.3995939205448,24.39374065551945,Foggy,5,Good,Night,0.9836344051973953
Urban,403.84481276123466,56.83973702210215,Foggy,5,poor,Night,
Highway,304.9538014535632,41.081691795368464,Foggy,3,poor,Night,
Rural,480.7911259361178,29.932613861162732,Rainy,2,Fair,Night,0.8885576362337806
Rural,193.17347169019442,43.40926361660719,Clear,1,Fair,Daylight,0.3332648346003349
Rural,148.82857046570172,39.13106180317882,Rainy,4,Fair,Daylight,0.5426833534282649
Urban,354.86004602050787,117.31313883615972,Rainy,4,Good,Daylight,0.45787577291540704
Urban,391.28388835986715,48.65459177184627,Foggy,5,poor,Night,
Rural,151.20768674832007,43.095897014715945,Rainy,2,Fair,Night,0.6384421137914167
Highway,84.47484391750095,103.48745062689929,Foggy,1,Fair,Daylight,0.44750512173440016
Highway,414.7324189638674,61.911621726883894,Rainy,1,Good,Night,0.6783836232515397
Urban,489.4258881407056,62.14654484493091,Rainy,4,Fair,Daylight,0.679356046636414
Highway,340.10252873252796,64.35904663801517,Clear,4,Good,Daylight,0.3583810073142076
Urban,175.04010506475237,61.65345061206146,Rainy,4,Good,Night,0.6491506527159827
Rural,498.50267384875644,52.656545495884835,Clear,1,poor,Daylight,
Urban,451.9699863201849,48.63394425547898,Foggy,4,Good,Night,0.8304309936161747
Urban,281.02129082613226,108.19596764854411,Foggy,1,poor,Daylight,
Rural,421.3945781788252,36.17073461353562,Clear,5,Good,Night,0.6027321110884564
Highway,417.1192354683351,38.10623529229393,Foggy,2,poor,Night,
Urban,470.65953635307477,77.17191004250424,Foggy,4,Good,Daylight,0.7502101728448098
Urban,428.415729698057,54.3658579662735,Rainy,1,Fair,Daylight,0.5965812816255166
Rural,339.655656180724,62.15293648470272,Clear,5,poor,Night,
Highway,324.1866735304283,100.6546607890683,Foggy,3,poor,Night,
Urban,260.3107797492253,110.36310603771054,Clear,5,Good,Night,0.418676850511569
Rural,331.9185379868408,99.0553679556547,Rainy,2,Fair,Night,0.6567144692052203
Urban,407.8474639386722,43.49282632907516,Foggy,5,Fair,Daylight,0.7544541661014015
Rural,486.06693183614897,117.99712896090502,Foggy,4,poor,Daylight,
Highway,260.27931118195403,56.317650081609585,Clear,4,Fair,Night,0.6048867342583963
Highway,308.1439413449407,36.9067061164613,Foggy,3,Fair,Night,0.9177555319539827
Highway,250.16247277645178,69.949670546804,Clear,1,Good,Night,0.4617679676361861
Highway,350.8198794425318,92.52857696349471,Foggy,5,Fair,Daylight,0.619393590416525
Urban,333.4642268275668,28.327088130807404,Rainy,3,Fair,Daylight,0.6718166089968388
Urban,58.025205587130486,83.42869146210478,Rainy,4,Fair,Night,0.4999693552667117
Highway,293.5227015952963,105.80779234265962,Clear,1,Fair,Night,0.5073038041712477
Highway,89.81910306455632,46.17814826920877,Foggy,1,Good,Night,0.6642547546089913
Highway,61.87262810249226,89.31232121767074,Foggy,2,Good,Daylight,0.37380331776422737
Urban,406.03872293811423,59.990862996044065,Clear,4,Fair,Daylight,0.5201853610322769
Highway,166.39243797168524,61.41351431395817,Rainy,1,Good,Night,0.5461968991001356
Highway,203.29478477928467,48.08140312089128,Rainy,2,poor,Night,
Highway,78.8380644218298,82.43937964398953,Rainy,2,Good,Night,0.43884840605520853
Rural,130.7751172224578,56.09992530301545,Clear,4,Good,Daylight,0.30033356862881816
Highway,394.52216821600655,103.09030034615783,Rainy,1,Good,Night,0.5731139780645292
Rural,272.0888736046794,116.29054230495309,Clear,1,poor,Night,
Rural,446.3008081475668,113.50876800409245,Rainy,5,poor,Daylight,
Highway,228.75895916007582,36.312837299298856,Rainy,1,poor,Night,
Rural,170.9153310894207,21.41902999947505,Clear,2,Good,Daylight,0.2632387504524736
Highway,206.41991650639292,63.846834112215774,Foggy,3,poor,Night,
Urban,370.747307082607,92.88837076721867,Foggy,4,poor,Daylight,
Urban,299.7525525505187,117.7455268334961,Foggy,3,Good,Daylight,0.4714402315364413
Urban,456.88604339859256,98.34223015721055,Rainy,1,Fair,Daylight,0.5544175388975061
Urban,320.9759462249975,78.05493218670398,Rainy,2,Good,Night,0.6286063423109066
Rural,271.8581938166764,22.635291222954738,Foggy,3,Good,Night,0.8592960407058742
Highway,403.5887257490298,102.55406915073546,Rainy,4,Good,Daylight,0.46304787801712444
Highway,476.39023283005037,37.71450339292111,Rainy,5,Fair,Night,0.8773601795991217
Highway,210.13066006023675,25.560651418679043,Foggy,3,Good,Daylight,0.6454663535079259
Urban,162.44429457446495,105.03588473542644,Clear,5,Good,Daylight,0.18672642964411768
Urban,327.29782833236266,76.6250867872007,Foggy,1,Fair,Daylight,0.7547007831429002
Highway,274.49276951924645,32.855159786044936,Foggy,1,Good,Night,0.6769130997264181
Urban,495.13350868915256,58.654266317408116,Clear,4,Good,Daylight,0.5156208636545604
Highway,258.06280286647996,28.55416672255633,Rainy,5,Good,Night,0.6304149042448143
Highway,83.44919811215564,83.8010806927802,Foggy,5,Fair,Night,0.6595513742103942
Highway,489.8160773499361,48.24272663426748,Foggy,4,Good,Daylight,0.6944941958265807
Highway,429.61412551709304,106.60941313653747,Rainy,3,Fair,Night,0.7101992342578797
Highway,130.2125647810835,55.7796028819692,Rainy,4,Fair,Night,0.7065704156403283
Highway,457.0723639007912,69.46338630199178,Clear,1,poor,Night,
Highway,203.30006936978506,26.352339750597515,Rainy,5,Good,Daylight,0.5851451930891101
Urban,219.70039304050002,47.559261664396985,Foggy,2,Good,Night,0.7329003749870684
Highway,457.87616706297166,87.67672716905973,Rainy,2,poor,Daylight,
Highway,288.5520042658919,93.626276777764,Rainy,1,poor,Daylight,
Urban,111.99331822933384,44.282185501123365,Clear,5,Good,Night,0.5045770287606423
Urban,216.0752717038118,70.3820098720708,Clear,5,Good,Daylight,0.2696238365716224
Urban,374.94385082054634,101.7531105204505,Foggy,4,poor,Night,
Highway,128.38288463060752,57.99101608895553,Foggy,3,Good,Daylight,0.4541239262185389
Rural,315.6040388328614,33.37712673567893,Rainy,4,Good,Night,0.6661038525617726
Rural,362.8733598249876,63.18703896124693,Foggy,2,Good,Night,0.7375099181196796
Urban,204.7341089941607,80.06286654320311,Foggy,5,poor,Daylight,
Rural,362.24630991874506,20.739852819237953,Rainy,3,poor,Daylight,
Urban,447.89330832319337,54.85675066807289,Rainy,4,Fair,Daylight,0.5660250327195611
Highway,262.4525349049584,80.74358208951647,Rainy,3,Fair,Daylight,0.5589103983379022
Rural,222.30919768090354,115.19119500446703,Clear,2,Good,Daylight,0.2071737551517054
Highway,163.02128061122858,60.85487324756647,Clear,3,Good,Night,0.3835347863557482
Rural,321.8924659384869,36.29722654793263,Rainy,5,Fair,Night,0.7325802266090827
Highway,445.9334216174222,73.42190979668533,Clear,3,Fair,Daylight,0.5279399717759735
Rural,196.09757023333734,48.57523610996804,Clear,3,Fair,Daylight,0.3743450159712865
Highway,228.30598604178658,41.477939931478396,Clear,4,Good,Night,0.4666768544856176
Highway,232.98148289749275,79.0403259028062,Foggy,3,Good,Night,0.7276030210570001
Rural,302.3655537998827,111.58835343364059,Rainy,3,Fair,Night,0.7288198734426786
Highway,152.78403270534739,103.52242043392859,Rainy,2,poor,Daylight,
Highway,419.9950198884669,38.22925388690925,Foggy,3,Fair,Night,0.9095504995976267
Highway,183.0210248768996,96.58794583498563,Clear,4,poor,Daylight,
Rural,367.41321090350687,42.98686343733692,Rainy,4,poor,Daylight,
Rural,280.9470838007984,49.07012606932192,Clear,5,Good,Daylight,0.3475631030065699
Highway,313.6539215087406,112.00515068834888,Foggy,2,poor,Night,
Highway,130.8239324722863,111.10501507137711,Clear,1,poor,Daylight,
Rural,380.7604391801767,36.86307645451623,Foggy,5,Fair,Night,1.0
Rural,134.879233569184,26.419185592348143,Foggy,3,Fair,Daylight,0.6816099954292463
Highway,101.0631369323476,49.31181032369487,Clear,2,poor,Night,
Highway,296.0057749499541,78.17750597777686,Clear,5,Fair,Night,0.6020622554297264
Highway,369.18371161294937,107.68916778163262,Rainy,4,Fair,Daylight,0.5989249259298265
Urban,72.51612639564053,31.88373889004911,Foggy,2,Fair,Daylight,0.5692107319830726
Rural,81.22789172324393,61.49585022025196,Clear,2,Fair,Daylight,0.3021011493155527
Urban,411.2056232176636,47.17497867205256,Clear,3,poor,Night,
Rural,414.0647147782994,21.492896723601767,Rainy,2,poor,Night,
Rural,160.38712267658653,98.84462607929984,Rainy,2,poor,Night,
Rural,326.8526912600916,101.32842131676772,Rainy,1,poor,Night,
Rural,249.43103381509678,42.12290617753165,Foggy,3,poor,Daylight,
Rural,334.71321863158084,35.1240250040368,Rainy,2,Good,Night,0.6191082901827475
Rural,438.29567784465127,34.45608536221972,Foggy,2,Fair,Daylight,0.6945608242348671
Rural,85.93539106201543,66.39471897642875,Rainy,1,Good,Night,0.43883363918888696
Urban,400.0929916948044,44.64955874357698,Foggy,1,poor,Night,
Highway,271.8630970344677,71.1355642488501,Rainy,4,Fair,Daylight,0.4922383059980386
Highway,303.8571246928984,58.485173715183976,Foggy,3,poor,Daylight,
Urban,344.2691120077041,41.08903049009913,Rainy,1,Good,Night,0.7294327199186402
Urban,465.1804171080983,95.11917895573143,Rainy,2,poor,Night,
Urban,75.52397909828204,35.036389033582275,Clear,1,Fair,Daylight,0.3478742854759453
Urban,63.264358456001446,99.89023148204372,Foggy,5,poor,Night,
Rural,130.21780166994807,76.14463836902922,Clear,4,poor,Night,
Highway,493.9014767120314,103.20371426764441,Foggy,4,Fair,Daylight,0.7460719144691824
Rural,371.78436531999904,20.4759040069905,Clear,3,Good,Daylight,0.507357543808631
Highway,326.5885035745259,94.91885190354829,Rainy,4,Good,Daylight,0.4278091214773245
Highway,71.16757403663655,25.15155932511153,Clear,3,Fair,Night,0.434816725496391
Urban,445.59960075183415,115.00987190378207,Rainy,5,Fair,Daylight,0.6956351165884539
Rural,415.74058398372176,90.2739488390535,Foggy,2,Good,Daylight,0.6658742311927534
Urban,349.1600197401882,52.0172290621358,Rainy,5,Fair,Daylight,0.6523768949358801
Rural,202.60886696811622,51.98504928457496,Clear,3,Good,Night,0.4182058356379968
Highway,81.7272300057158,106.14923797186252,Foggy,3,poor,Daylight,
Urban,311.0173195554151,110.28401284526588,Clear,3,Good,Night,0.3579886714166344
Urban,373.86255715737684,109.15732810387438,Rainy,2,Fair,Night,0.6703780990733045
Highway,92.40815771476134,100.87402925663275,Rainy,3,poor,Daylight,
Highway,335.19544690932315,101.9032020836373,Clear,5,Fair,Night,0.5467178264463206
Highway,178.86473054922135,77.27679028775594,Foggy,2,Good,Daylight,0.5234928271393734
Urban,393.9098995489153,22.823105294906814,Clear,5,poor,Night,
Rural,292.82713277082667,28.677328205899492,Rainy,2,Good,Daylight,0.5110875125286277
Urban,108.06655451469652,84.95532494062,Foggy,3,poor,Night,
Rural,286.9337514799562,60.1165160327027,Clear,2,Fair,Night,0.5695420882255194
Urban,228.08158851502338,76.73096308415862,Rainy,1,Good,Night,0.49320660094888163
Urban,131.16018572674335,43.10776226221287,Foggy,5,poor,Daylight,
Highway,428.68207582795543,84.9417173643192,Clear,1,poor,Daylight,
Rural,54.96280182461129,44.28295441933407,Foggy,1,poor,Night,
Urban,190.45772459514768,66.0812797975354,Rainy,3,Good,Daylight,0.4281672510617775
Urban,55.66776717624204,67.8719899591182,Clear,3,Fair,Night,0.334322852695946
Highway,93.20312592776872,37.766822983915915,Clear,1,Fair,Daylight,0.417399937291509
Highway,183.69329862788646,107.62077263876397,Rainy,2,poor,Daylight,
Rural,74.42203342521812,72.582105627312,Rainy,3,Fair,Night,0.6017981765655606
Urban,318.4837395607135,106.6783777938346,Rainy,5,Good,Daylight,0.5009146643680409
Rural,89.08830859378226,46.2535695495924,Clear,1,Fair,Daylight,0.20721591877008044
Urban,365.77113532974283,37.23359454681406,Rainy,5,Fair,Night,0.8772932667271028
Rural,73.6889506822225,21.801664762012965,Clear,5,Good,Night,0.40712967405904715
Highway,76.68900266049356,29.386465972650726,Clear,5,Good,Daylight,0.27664292936411605
Urban,187.39665456496985,34.74706048866119,Foggy,1,Fair,Night,0.7963226297899693
Rural,453.4571862361749,27.885556237796955,Rainy,4,Fair,Daylight,0.7278891455595512
Highway,338.6269619254924,109.68792951421875,Rainy,3,Fair,Daylight,0.43434488765414997
Highway,396.5590813680137,111.14383079417638,Foggy,5,poor,Daylight,
Rural,113.69844926469773,113.73626722750438,Clear,1,Good,Daylight,0.13440334332745596
Urban,425.35644496126065,115.98608365756688,Clear,4,poor,Daylight,
Urban,53.66581168740582,69.18350050199382,Clear,1,poor,Night,
Highway,145.87580782985276,73.00246368249503,Rainy,3,poor,Night,
Urban,327.24154451749706,33.08304285735524,Clear,1,poor,Daylight,
Urban,218.86088386732266,33.70520377520581,Foggy,2,Fair,Daylight,0.7517050945347116
Urban,492.88702627335357,97.27564386560675,Clear,2,Good,Night,0.5780685318381568
Highway,63.652661068243205,105.57290841417408,Rainy,5,Fair,Night,0.6660226738022518
Rural,499.36917557144443,98.47144306310922,Rainy,1,Good,Night,0.7093694854221326
Urban,330.6325247875922,103.4575864994953,Clear,1,poor,Daylight,
